time,open,high,low,close,volume
2021-01-01 00:00:00,124.22,124.87,122.89,123.87,42555.42262
2021-01-01 01:00:00,123.88,131.94,123.88,131.7,206628.40658
2021-01-01 02:00:00,131.71,133.97,129.99,133.33,159978.73923
2021-01-01 03:00:00,133.33,133.4,131.26,131.66,75971.71416
2021-01-01 04:00:00,131.66,132.3,129.86,130.87,60598.84846
2021-01-01 05:00:00,130.86,131.16,130.21,130.88,39693.04671
2021-01-01 06:00:00,130.87,132.1,129.19,130.21,69061.02724
2021-01-01 07:00:00,130.21,130.38,128.11,129.41,80694.44486
2021-01-01 08:00:00,129.4,129.99,124.77,126.0,150506.82912
2021-01-01 09:00:00,126.0,127.79,125.82,127.32,58944.13431
2021-01-01 10:00:00,127.31,128.53,126.9,127.37,39359.54624
2021-01-01 11:00:00,127.39,128.88,127.31,127.62,37275.09072
2021-01-01 12:00:00,127.62,130.27,125.74,126.62,112132.52368
2021-01-01 13:00:00,126.61,128.26,126.51,127.91,40171.37995
2021-01-01 14:00:00,127.87,128.7,126.87,127.11,38487.74321
2021-01-01 15:00:00,127.13,127.46,125.79,126.34,39981.57555
2021-01-01 16:00:00,126.34,127.55,126.01,127.01,43474.42965
2021-01-01 17:00:00,127.0,127.0,125.03,125.26,53402.05451
2021-01-01 18:00:00,125.28,126.51,123.35,125.44,71878.25192
2021-01-01 19:00:00,125.41,125.48,124.43,125.26,26698.56567
2021-01-01 20:00:00,125.26,126.49,124.75,126.1,34438.65568
2021-01-01 21:00:00,126.1,126.3,125.16,125.3,23321.99526
2021-01-01 22:00:00,125.3,126.2,125.01,125.93,17031.98413
2021-01-01 23:00:00,125.94,126.36,125.51,126.24,17515.39869
2021-01-02 00:00:00,126.2,126.75,123.52,124.2,69754.73858
2021-01-02 01:00:00,124.21,125.72,123.15,125.32,50370.92054
2021-01-02 02:00:00,125.32,125.59,124.28,124.3,27612.7504
2021-01-02 03:00:00,124.3,125.89,124.17,125.1,28854.16876
2021-01-02 04:00:00,125.1,125.19,124.22,124.95,24123.48551
2021-01-02 05:00:00,124.98,126.2,124.96,125.96,31760.15955
2021-01-02 06:00:00,125.9,127.36,125.48,126.79,32356.45755
2021-01-02 07:00:00,126.78,126.98,125.32,125.4,30431.91166
2021-01-02 08:00:00,125.41,125.97,124.34,125.22,30457.48187
2021-01-02 09:00:00,125.22,125.45,124.0,124.14,32617.19177
2021-01-02 10:00:00,124.12,127.09,123.8,124.89,58115.21377
2021-01-02 11:00:00,124.9,125.53,124.55,125.35,19151.00819
2021-01-02 12:00:00,125.33,131.69,125.07,130.36,221575.27161
2021-01-02 13:00:00,130.36,132.51,129.13,130.84,230298.24849
2021-01-02 14:00:00,130.87,130.93,128.11,129.68,130769.64616
