time,open,high,low,close,volume
2021-01-01 00:00:00,28923.63,29031.34,28690.17,28995.13,2311.811445
2021-01-01 01:00:00,28995.13,29470.0,28960.35,29409.99,5403.068471
2021-01-01 02:00:00,29410.0,29465.26,29120.03,29194.65,2384.23156
2021-01-01 03:00:00,29195.25,29367.0,29150.02,29278.4,1461.345077
2021-01-01 04:00:00,29278.41,29395.0,29029.4,29220.31,2038.046803
2021-01-01 05:00:00,29220.31,29235.28,29084.11,29187.01,1469.956262
2021-01-01 06:00:00,29187.01,29270.0,29077.32,29174.35,1420.726291
2021-01-01 07:00:00,29174.35,29191.98,28806.54,29092.83,2380.180918
2021-01-01 08:00:00,29092.84,29178.03,28872.24,29000.01,2008.165739
2021-01-01 09:00:00,29000.01,29307.73,28970.0,29202.21,2022.056022
2021-01-01 10:00:00,29202.21,29344.97,29152.88,29223.82,1944.255841
2021-01-01 11:00:00,29223.82,29402.57,29212.44,29313.49,2309.227717
2021-01-01 12:00:00,29313.49,29600.0,29150.0,29233.49,4191.915161
2021-01-01 13:00:00,29233.49,29470.0,29200.0,29464.79,2211.29829
2021-01-01 14:00:00,29464.79,29530.0,29266.15,29327.84,2612.67217
2021-01-01 15:00:00,29327.83,29391.0,29030.14,29188.67,2779.063894
2021-01-01 16:00:00,29188.67,29360.0,29125.0,29300.57,1490.329484
2021-01-01 17:00:00,29300.79,29339.76,28937.0,29079.64,2504.977099
2021-01-01 18:00:00,29077.59,29259.98,28624.57,29072.7,4226.430041
2021-01-01 19:00:00,29072.7,29125.32,28950.0,29029.04,1629.228721
2021-01-01 20:00:00,29029.04,29279.72,28880.37,29200.96,1838.549082
2021-01-01 21:00:00,29200.97,29289.82,29130.0,29160.39,1447.229641
2021-01-01 22:00:00,29163.17,29326.74,29104.57,29262.32,1127.035897
2021-01-01 23:00:00,29262.32,29338.89,29228.14,29331.69,971.123385
2021-01-02 00:00:00,29331.7,29338.59,28946.53,29197.48,2638.159379
2021-01-02 01:00:00,29197.93,29400.0,29100.0,29359.47,1891.997249
2021-01-02 02:00:00,29359.46,29469.0,29320.01,29323.82,1704.830137
2021-01-02 03:00:00,29323.82,29382.49,29256.85,29351.95,1158.041761
2021-01-02 04:00:00,29351.95,29396.0,29220.0,29349.63,988.71107
2021-01-02 05:00:00,29349.63,29590.0,29349.63,29589.99,2778.878231
2021-01-02 06:00:00,29589.99,29745.0,29450.0,29709.07,3030.24082
2021-01-02 07:00:00,29709.06,29820.5,29623.31,29750.0,3067.812724
2021-01-02 08:00:00,29751.47,29849.11,29640.0,29844.51,2358.088241
2021-01-02 09:00:00,29844.52,29899.0,29578.05,29612.87,3188.497375
