,time,type,fracSize,low,high,note,tokenPriceA,tokenPriceB,cumFees
0,2021-01-02 01:49:28.550,base,1,27875.515996066046,31250.85241712098,new,15602.021159530355,0.5270618405601296,0.0
1,2021-01-02 13:49:28.550,base,1,30775.020552528476,34978.48151670779,stop,16546.52214170043,0.4987860710426219,0.0
2,2021-01-03 13:49:28.550,base,1,30411.48048556856,34970.643255548035,new,12590.48373390434,0.385378452918019,0.0
3,2021-01-04 13:49:28.550,base,1,29649.597921912235,34361.26288516985,new,10603.756993430125,0.3333358322791058,0.0
4,2021-01-05 13:49:28.550,base,1,31173.306663140153,37137.1260370393,new,10386.804970867075,0.3058818636022155,0.0
5,2021-01-06 13:49:28.550,base,1,32296.056780904353,38291.36265518821,new,9866.811270101203,0.2782090559613738,0.0
6,2021-01-07 13:49:28.550,base,1,35437.5267090092,42302.0917187465,new,11030.92170339413,0.2819399107011293,0.0
7,2021-01-08 13:49:28.550,base,1,36628.92906553344,43305.96222148621,new,12507.292139441595,0.3109177838361757,0.0
8,2021-01-09 13:49:28.550,base,1,36470.618740515136,44782.0731298327,new,11991.883390588113,0.2953639057202526,0.0
9,2021-01-10 13:49:28.550,base,1,34639.81430722372,41225.46636264753,new,10815.365571783675,0.2850221414960305,0.0
10,2021-01-11 01:49:28.550,base,1,31742.931372184292,37365.974978904705,stop,12192.174970958324,0.3549890650501978,0.0
11,2021-01-12 01:49:28.550,base,1,32882.3252370345,42400.08733271429,new,11436.641318416196,0.3133424214645095,0.0
12,2021-01-12 19:49:28.550,base,1,29253.09077924733,36800.06912851022,stop,12000.805244688989,0.3627508345016318,0.0
13,2021-01-13 19:49:28.550,base,1,34057.74102492836,41748.09283832157,new,12106.619801377665,0.3230383972893725,0.0
14,2021-01-14 19:49:28.550,base,1,33961.45833885058,42661.87674949029,new,11545.377508430009,0.2943791625593794,0.0
15,2021-01-15 19:49:28.550,base,1,33300.8764153424,40861.709823892204,new,12201.967414649109,0.3297011610362483,0.0
16,2021-01-16 19:49:28.550,base,1,32506.18913856183,40742.45459727943,new,11124.629025838456,0.3056867292893566,0.0
