,time,type,fracSize,low,high,note,tokenPriceA,tokenPriceB,cumFees
664,2021-04-28 15:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2716.077225105857,0.9991673403050734,0.1426419921484031
665,2021-04-28 16:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2714.5139152631505,1.0009703722890515,0.142679158379845
666,2021-04-28 17:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2718.36345071184,1.00036235566388,0.1427263476459882
667,2021-04-28 18:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2737.807383534743,1.0004329543974328,0.1427597779481952
668,2021-04-28 19:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2706.618684855556,1.0007537278271563,0.1428273548373857
669,2021-04-28 20:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2756.2996518922946,0.9996508368544892,0.1428799819174741
670,2021-04-28 21:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2712.5598268361105,0.999194247946364,0.142914388231637
671,2021-04-28 22:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2743.5958466336538,1.000081671026179,0.1429655520735785
672,2021-04-28 23:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2725.469515579304,1.0004549197189252,0.1429939977199032
673,2021-04-29 00:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2718.927388417198,1.0001934347957535,0.1430296384752441
674,2021-04-29 01:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2712.289801131482,0.999996420705068,0.1430634402840302
675,2021-04-29 02:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2689.6381225536843,0.999931987448072,0.1431143320345886
676,2021-04-29 03:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2686.931046989479,0.999603732954177,0.1431565343074669
677,2021-04-29 04:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2720.2016455485823,0.997570088786648,0.1432017055744131
678,2021-04-29 05:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2727.2793818527853,0.9991937395643156,0.1432427581591335
679,2021-04-29 06:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2728.091713637308,1.0001771399234118,0.1432797981156148
680,2021-04-29 07:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2712.342472832347,1.0013573712604358,0.1433121746794798
681,2021-04-29 08:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2764.534399136113,0.9989588809483966,0.1434052392222631
682,2021-04-29 09:58:15.211,base,1,2415.408250112217,2992.206344268502,hold,2765.352030396721,1.0009320069075394,0.1434399443841357
683,2021-04-29 10:58:15.211,base,1,2503.6413999556557,3057.055817841038,new,2765.8554396108248,0.9982539835333002,0.1434625276507766
